Platform Version,Platform Release Date,Service Name,Service Version,User Story,Active Date,In UAT Date,Status
v0.0.12,2024-04-24 14:22:29.502000+00:00,admin-svc,0.0.10,17974,2024-04-08T12:43:26.193Z,2024-04-24T14:48:44.01Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,admin-svc,0.0.10,18374,2024-04-22T10:51:39.247Z,2024-04-24T14:48:44.347Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,admin-http-broker,0.0.11,18374,2024-04-22T10:51:39.247Z,2024-04-24T14:48:44.347Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,obd-svc,0.0.14,17338,2024-04-12T11:23:52.433Z,2024-04-24T14:48:48.467Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,obd-svc,0.0.14,17638,2024-04-11T11:40:20.32Z,2024-04-24T14:48:48.627Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,obd-svc,0.0.14,17814,2024-04-08T04:11:14.783Z,2024-04-24T14:48:48.987Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,obd-svc,0.0.14,17934,2024-04-18T10:32:22.857Z,2024-04-24T14:48:49.183Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,obd-svc,0.0.14,17974,2024-04-08T12:43:26.193Z,2024-04-24T14:48:44.01Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,obd-svc,0.0.14,18374,2024-04-22T10:51:39.247Z,2024-04-24T14:48:44.347Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,obd-http-broker,0.0.13,17934,2024-04-18T10:32:22.857Z,2024-04-24T14:48:49.183Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,obd-http-broker,0.0.13,18374,2024-04-22T10:51:39.247Z,2024-04-24T14:48:44.347Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,idp-auth-http-broker,0.0.13,17741,2024-04-08T04:16:40.18Z,2024-04-24T14:48:53.743Z,Success
v0.0.12,2024-04-24 14:22:29.502000+00:00,idp-auth-http-broker,0.0.13,17747,2024-04-05T07:18:59.303Z,2024-04-24T14:48:53.933Z,Success
